599,Gerald,Ugle,32,,GWS,,
600,Nathan,van Berlo,7,,Adelaide,,
601,Travis,Varcoe,5,,Geelong,,
602,Nathan,Vardy,30,,Geelong,,
603,Patrick,Veszpremi,8,,Western Bulldogs,,
604,Tyrone,Vickery,29,,Richmond,,
605,Bernie,Vince,17,,Adelaide,,
606,Jack,Viney,7,,Melbourne,,
607,Nick,Vlastuin,31,,Richmond,,
608,Jarrad,Waite,30,,Carlton,,
609,Taylor,Walker,13,,Adelaide,,
610,Andrew,Walker,1,,Carlton,,
611,Mitch,Wallis,3,,Western Bulldogs,,
612,Tommy,Walsh,17,,Sydney,,
613,Michael,Walters,10,,Fremantle,,
614,Callan,Ward,8,,GWS,,
615,Robert,Warnock,11,,Carlton,,
616,Matthew,Warnock,14,,Gold Coast,,
617,Beau,Waters,8,,West Coast,,
618,Jobe,Watson,4,,Essendon,,
619,Matthew,Watson,10,,Carlton,,
620,Jack,Watts,4,,Melbourne,,
621,Jimmy,Webster,29,,St Kilda,,
622,Maverick,Weller,4,,Gold Coast,,
623,Sharrod,Wellingham,12,,West Coast,,
624,Daniel,Wells,8,,North Melbourne,,
